x,y,landslide_id,label,Elevation,Slope,Aspect,Curvature,TRI,TWI,Rainfall,Dist_Streams,Dist_Roads,Dist_Faults,NDVI,BSI,Soil,Lithology,LULC,Geomorphon
262860.40580654127,3348408.230331431,39481,1,607.73663,40.75364,210.34326,0.00039990735,16.310638,8.217993,956.4989,576.8882,45432.73,65820.086,0.30981326,0.027897859,3661,2,11,6
262975.8702056821,3347940.0787466806,39467,1,566.2566,40.05628,190.08061,-0.0036652854,16.572329,8.90127,959.7549,219.31714,45383.72,66206.76,0.3239575,0.024704456,3661,7,11,7
263072.4666530241,3347895.9038559054,38714,1,633.5344,31.973738,225.0,0.0023121552,11.540324,9.580917,961.7569,223.6068,45291.31,66315.42,0.35422447,-0.020040752,3661,2,11,5
263099.8375662893,3343826.778510523,38749,1,1142.0343,25.217506,279.09027,-0.0026674562,9.56766,9.851562,970.71844,2192.5557,45993.938,69018.39,0.44339478,-0.114531346,3661,2,11,6
263137.98775882664,3346548.1221960727,39392,1,952.74243,27.850508,78.31064,-0.00563792,9.875574,9.851562,965.7509,880.0568,45431.68,67232.73,0.35791767,-0.010261057,3661,2,11,6
263368.3748559715,3348340.050538224,39896,1,916.22516,45.81362,204.36247,-0.00072356034,19.122885,9.661242,966.3632,755.91003,44945.273,66248.95,0.31766132,0.022350611,3661,2,11,6
263422.63278018055,3346576.7386066206,38788,1,946.85443,23.762287,115.46335,-0.0033628976,8.222205,7.583372,970.70496,686.00287,45140.68,67432.24,0.4055076,-0.06370704,3661,2,2,6
263452.46872991725,3346915.7170201926,38825,1,787.24225,24.36821,96.58194,9.3603e-05,8.542673,7.8650656,970.6521,402.24368,45058.13,67239.766,0.38832214,-0.058941517,3661,2,11,6
263487.38946417905,3346630.9195260094,38787,1,935.71875,25.668804,81.253845,0.0059382357,9.516453,10.608714,971.65894,610.3278,45073.312,67445.01,0.34537837,-0.012091587,3661,2,11,5
263541.2031166484,3347299.974817221,38723,1,564.63617,30.913752,84.47247,-0.0019026768,11.60707,9.851562,971.6035,36.05551,44909.58,67055.3,0.37896124,-0.02482773,3661,2,2,7
263632.81590289954,3347806.1926573385,38713,1,718.09503,35.950127,228.94519,0.0037036415,12.894225,9.74243,972.4577,418.80783,44748.797,66802.08,0.36163262,-0.029372627,3661,2,11,6
263817.0132381121,3346877.570117312,38824,1,781.8029,32.571026,66.370605,-0.0015406457,11.634515,8.60966,977.06665,216.33308,44707.38,67532.984,0.3987251,-0.06708905,3661,2,11,6
264024.40276826924,3348069.610402571,38701,1,854.93024,26.37683,276.3402,0.007544895,9.499311,7.304951,979.4765,866.0831,44325.76,66929.55,0.21343401,0.11341979,3661,2,11,6
264158.09974118,3344923.954857659,38773,1,872.708,48.897186,45.578735,-0.0052729384,19.769575,7.648912,984.77026,930.0538,44727.21,69074.2,0.45236647,-0.12244371,3661,2,2,7
264178.857512009,3344903.952700403,40119,1,873.7854,53.466362,53.746155,-0.0029896307,24.228725,8.186811,985.09357,910.4944,44711.684,69102.43,0.5414206,-0.22056259,3661,2,2,7
264279.49350994325,3345015.126723897,38774,1,854.6213,41.766857,311.08176,0.0015382811,15.258901,10.194764,986.55554,802.2468,44591.516,69104.68,0.27683958,0.05508731,3661,2,11,7
264321.7050042163,3345049.647440174,39864,1,861.76373,39.021645,289.74683,0.00023463096,15.342902,9.136628,987.30554,750.26666,44534.5,69115.83,0.46430886,-0.13240585,3661,2,11,7
264366.7810975769,3343698.9095657635,38761,1,834.2007,37.942142,307.40536,-0.007355897,13.956921,7.915968,988.6498,1002.84595,44785.785,70043.72,0.39567277,-0.06869069,3661,2,11,7
264409.7968987519,3346504.4850086146,38813,1,809.54156,26.129389,10.491486,0.0026574517,9.215588,7.622873,987.73785,106.30146,44187.7,68228.625,0.36909658,-0.04048825,3661,2,11,6
264525.413358762,3346225.1463628723,38812,1,808.19824,27.96432,38.047028,-0.0016675962,9.581016,8.59005,989.93475,192.09373,44117.83,68501.47,0.4402127,-0.10086374,3661,2,2,6
264699.7648453415,3343897.044767772,39252,1,838.69727,31.84097,34.992004,0.0016093096,11.84053,9.665872,993.2312,630.63464,44418.848,70155.45,0.4789657,-0.1480136,3661,2,2,6
264761.2247190828,3343826.883561641,38772,1,820.9401,29.396378,36.869904,0.0019484295,10.192655,8.42629,994.22766,582.4088,44366.64,70254.29,0.43794116,-0.10869605,3661,2,2,5
265230.1320486544,3345157.160245392,38748,1,554.13934,43.546215,311.72952,-0.0010120148,17.153881,8.169656,1001.361,150.0,43630.785,69722.73,0.4017743,-0.063378155,3661,2,11,10
265286.59119864093,3345248.2837344585,38737,1,562.59625,38.414402,320.35583,-0.0010012891,13.852813,8.790475,1002.3501,210.0,43553.9,69709.54,0.34226787,-0.003878444,3661,2,11,9
265369.503126312,3345324.669400793,38736,1,546.4114,42.086098,338.1986,-0.0010175875,16.99329,9.851562,1003.6583,291.5476,43461.52,69724.72,0.4305601,-0.0978037,3661,2,11,10
265795.40987145825,3345249.3261049874,39452,1,787.5541,38.98987,162.4076,-0.003002118,15.363168,9.851562,1010.42706,720.0,43054.367,70097.27,0.36132503,-0.0071162,3661,2,2,7
266022.20766200725,3345595.9519925406,39466,1,1001.0043,44.107983,199.57314,-0.004138792,18.258951,8.331718,1014.54175,963.3276,42761.164,70053.42,0.38218892,-0.05531626,3661,2,11,6
266153.4037243315,3345332.271677205,39465,1,1026.2377,61.25356,159.7174,-0.0048691225,33.167233,8.163063,1016.2591,1080.7405,42685.625,70320.31,0.2913999,0.06295068,3661,2,11,7
280250.83332303504,3347827.2015326857,38677,1,649.0779,33.27165,147.17145,0.0061620655,12.542206,9.686205,1291.6385,832.16583,28374.504,80245.8,0.3278574,0.014868805,3661,2,11,5
